,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
89,run-8,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.49975012493753124,RunTime(ms),2.001
90,run-9,Mongodb,workload c,1000,1k,OVERALL,Throughput(ops/sec),0.6472491909385112,RunTime(ms),1.545
71,run-1,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),1.1124707976415618,RunTime(ms),8.989
72,run-10,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),1.4080540692762604,RunTime(ms),7.102
73,run-2,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),1.9290123456790123,RunTime(ms),5.184
74,run-3,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),2.044153720359771,RunTime(ms),4.892
75,run-4,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),2.172496198131653,RunTime(ms),4.603
76,run-5,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),2.024701356549909,RunTime(ms),4.939
77,run-6,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),1.3078733978550874,RunTime(ms),7.646
78,run-7,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),1.9809825673534076,RunTime(ms),5.048
79,run-8,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),1.8372221201543264,RunTime(ms),5.443
80,run-9,Mongodb,workload c,10000,10k,OVERALL,Throughput(ops/sec),1.579030475288173,RunTime(ms),6.333
61,run-1,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),3.832739258748227,RunTime(ms),26.091
62,run-10,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),2.388230798624379,RunTime(ms),41.872
63,run-2,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),2.6268092148467264,RunTime(ms),38.069
64,run-3,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),2.5736051060325305,RunTime(ms),38.856
65,run-4,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),3.24654243230959,RunTime(ms),30.802
66,run-5,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),2.9784952641925297,RunTime(ms),33.574
67,run-6,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),2.6516758591429785,RunTime(ms),37.712
68,run-7,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),3.2922894580891553,RunTime(ms),30.374
69,run-8,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),2.6509729070568895,RunTime(ms),37.722
70,run-9,Mongodb,workload c,100000,100K,OVERALL,Throughput(ops/sec),2.6858616244091102,RunTime(ms),37.232
91,run-1,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),2.995177763800281,RunTime(ms),333.87
92,run-10,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),3.425631258200105,RunTime(ms),291.917
93,run-2,Mongodb,workload c,1000000,1M,OVERALL,Throughput(ops/sec),3.3487599541889645,RunTime(ms),298.618
